Country,Oil 1995,Oil 1996,Oil 1997,Oil 1998,Oil 1999,Oil 2000,Oil 2001,Oil 2002,Oil 2003,Oil 2004,Oil 2005,Oil 2006,Oil 2007,Oil 2008,Oil 2009,Oil 2010,Oil 2011,Oil 2012,Oil 2013,Average Oil
Gabon,1.47,2.80,2.67,2.57,2.57,2.42,2.40,2.37,2.29,2.19,2.15,2.15,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.21
Libya,29.50,29.50,29.50,29.50,29.50,36.00,36.00,36.00,39.13,39.13,41.46,41.46,43.66,44.27,46.42,47.10,48.01,48.47,48.47,39.11
Nigeria,20.83,20.83,20.83,22.50,29.00,29.00,31.51,34.35,35.26,35.88,36.22,37.20,37.20,37.20,37.20,37.20,37.20,37.14,37.14,32.30
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50,0.37
Sudan,0.30,0.30,0.26,0.26,0.26,0.26,0.56,0.56,0.56,0.56,0.56,5.00,5.00,5.00,5.00,5.00,5.00,1.50,1.50,1.97
Tunisia,0.38,0.34,0.31,0.29,0.31,0.43,0.53,0.50,0.65,0.68,0.56,0.60,0.60,0.58,0.43,0.43,0.43,0.43,0.43,0.47
Australia,3.80,3.82,4.04,4.77,4.74,4.94,4.96,4.57,3.75,3.89,3.72,3.51,3.43,4.24,4.06,3.83,3.87,3.92,3.96,4.10
Brunei,1.12,1.09,1.06,1.02,1.30,1.23,1.16,1.10,1.05,1.12,1.11,1.20,1.08,1.08,1.10,1.10,1.10,1.10,1.10,1.12
China,16.36,16.44,17.02,17.42,15.11,15.19,15.41,15.51,15.48,15.53,15.59,15.61,15.49,15.61,15.86,17.30,17.80,18.08,18.08,16.26
India,5.51,5.49,5.63,5.39,4.97,5.29,5.51,5.58,5.73,5.57,5.92,5.69,5.46,5.80,5.82,5.83,5.70,5.72,5.71,5.60
Indonesia,4.98,4.73,4.87,5.10,5.20,5.12,5.10,4.72,4.73,4.30,4.19,4.37,3.99,3.75,4.30,4.23,3.74,3.74,3.74,4.47
Malaysia,5.20,4.96,4.98,4.65,5.03,4.53,4.46,4.54,4.84,5.16,5.25,5.36,5.46,5.52,3.57,3.74,3.74,3.67,3.67,4.65
Thailand,0.30,0.24,0.30,0.39,0.36,0.51,0.58,0.69,0.50,0.53,0.45,0.46,0.46,0.45,0.44,0.44,0.45,0.43,0.43,0.44
Vietnam,0.76,0.89,1.25,1.90,1.80,1.95,2.20,2.81,2.96,3.08,3.12,3.25,3.41,4.73,4.50,4.40,4.40,4.40,4.40,2.96
